category,productName,review,predictedSentiment,score,positivePercent,negativePercent
Phone,samsung galaxy s iii,very nice phone great battery great display great camera the phone is perfect i love it is really nice and it has great features i love the phone is fast and even the desighn is sleek very fast and great for everyday usage i love it is perfect for me,Positive,0.994,74.73601877199843,16.327727806022683
Phone,samsung galaxy s iii,"first l will like to say thank you to samsung u did a great job on this phone is a great product the quality , the color on the display is only one word to say Wow, ,the call quality is great the camera is good , and the speed of the UI is awesome .samsung you did it great job on this great product...",Positive,0.9912,74.73601877199843,16.327727806022683
Phone,samsung galaxy s iii,A little bit of blemishes on the case but so little I couldn't notice at first. Screen is wonderfully clear and operating system works great. I so love this phone! Thanks so much for having such a like-new phone at such a good price. Definitely worth it.,Positive,0.9895,74.73601877199843,16.327727806022683
Phone,samsung galaxy s iii,"I think it's brilliant. I had the Galaxy S2 and thought it was fast. Got the Galaxy S3 and WOW, just WOW. Super quick. I also like the design! I really like it! Screen size, perfect. Any bigger is a no no for me, 4.8inches if the perfect size. The camera is really good, zero lag is true!",Positive,0.9887,74.73601877199843,16.327727806022683
Phone,samsung galaxy s iii,"I love my new samsung phone. I have never had anything like it before. I am having so much fun with all of the awesome features. It is so user friendly. I am learning something new everyday. I LOVE, LOVE, LOVE my new phone!!!!",Positive,0.9864,74.73601877199843,16.327727806022683
Phone,samsung galaxy s iii,"Worst 300$ I've spent, i had to change the charger point twice because it was broken, the charger never worked and last month started saying emergency calls only, which i couldn't solve, and 3 days ago died, emmc thing died. My phone came veeeeery bad and now my mom is so angry.",Negative,-0.9784,74.73601877199843,16.327727806022683
Phone,samsung galaxy s iii,Only problem is terrible terrible (and I mean terrible) battery life. I give it a 7/10 3 points deducted because of bad battery life. (Yes its that bad),Negative,-0.946,74.73601877199843,16.327727806022683
Phone,samsung galaxy s iii,"give the phone a good rating, but i got the motherboard problem so many phones are rigged with. thats right, samsung rigged these phones to expire! look up ""sudden Death Syndrome"" and dont buy a used samsung phone! mine shat out on me after only about 2-3 months. way to flush $250 down the toilet.",Negative,-0.9436,74.73601877199843,16.327727806022683
Phone,samsung galaxy s iii,"Phone had battery problems, only held charge for about 2 hours then died. Wasn't very happy. Charger port was also damaged, motherboard needed replaced, and the screen turned purple at 15% batt. & died.",Negative,-0.9434,74.73601877199843,16.327727806022683
Phone,samsung galaxy s iii,"Overall I like the phone, but it has had a problem with shutting off for no reason on several occasions, and the power button won't power it back on. This has resulted in missed calls and the alarm failing to go off in the morning. The only way to restart when this happens is to pull the battery.",Negative,-0.9428,74.73601877199843,16.327727806022683
Phone,samsung galaxy s5,"Screen is great. The accuracy when tapping is perfect. Screen not as big as I want it to be, but the screen is pretty awesome! Features are sweet and amazing. Love all the customizable things when using this phone. Works great camera is one of the best and pretty much flawless. Top 5 phones to me.",Positive,0.9955,78.93409019236834,13.139913802165458
